Token,Tag,Note,Should always be ordered by Tag in ascending order(or any order) and then by Token in descending order
taro,root/underground (other),,
ginger,root/underground (other),,
elephant ginger,root/underground (other),,
onion,root/underground (bulbs),,
garlic,root/underground (bulbs),,
plant root,root/underground,,
avian food product,poultry,,
pork,pork,,
porcine,pork,,
ham,pork,,
pomaceous fruit,pome fruit,,
sus scrofa,pig,,
whale,other aquatic animals,,
toad,other aquatic animals,,
seal meat,other aquatic animals,,
frog,other aquatic animals,,
sheep,other animal,,
serpentes,other animal,,
sea otter,other animal,,
sea lion,other animal,,
psittacine,other animal,,
primates,other animal,,
musculus,other animal,,
mouse,other animal,,
lamb,other animal,,
horse,other animal,,
goat,other animal,,
equus caballus,other animal,,
alpaca,other animal,,
sugar,other (sweetener),,
oil,oils,,
raw macadamia,nuts,,
pistachio,nuts,,
peanut butter,nuts,,
peanut,nuts,,
nuts,nuts,,
nut producing plant,nuts,,
nut milk,nuts,,
nut cheese,nuts,,
macdamia,nuts,,
coconut milk,nuts,,
coconut flakes,nuts,,
coconut cheese,nuts,,
cashew milk,nuts,,
cashew cheese,nuts,,
and nuts,nuts,,
almond milk,nuts,,
almond cheese,nuts,,
mixed vegatables,multi-ingredient;vegetable,,
weiners,multi-ingredient,,
unknown food powder,multi-ingredient,,
turkey croquette,multi-ingredient,,
teriyaki,multi-ingredient,,
taquitos,multi-ingredient,,
sub,multi-ingredient,,
sandwich,multi-ingredient,,
salad sand,multi-ingredient,,
ranch sandwich,multi-ingredient,,
pre-cooked,multi-ingredient,,
precooked,multi-ingredient,,
potato salad,multi-ingredient,,
potato croquette,multi-ingredient,,
pico de gallo,multi-ingredient,,
party wings,multi-ingredient,,
oyster croquette,multi-ingredient,,
nutritional powder,multi-ingredient,,
mixture,multi-ingredient,,
mix,multi-ingredient,,
lasagna,multi-ingredient,,
incense powder,multi-ingredient,,
haddock croquette,multi-ingredient,,
green/red powder substance,multi-ingredient,,
green powder,multi-ingredient,,
food mixture,multi-ingredient,,
dinner,multi-ingredient,,
dehydrated new mexico powder,multi-ingredient,,
corn dog,multi-ingredient,,
cooked,multi-ingredient,,
chistora,multi-ingredient,,
chimichanga,multi-ingredient,,
chili dog,multi-ingredient,,
chicken salad,multi-ingredient,,
chicken croquette,multi-ingredient,,
chicken burger,multi-ingredient,,
burger,multi-ingredient,,
brown powder,multi-ingredient,,
breaded chicken,multi-ingredient,,
blend,multi-ingredient,,
barbeque,multi-ingredient,,
whelk,mollusks (non-bi-valve),,
squid,mollusks (non-bi-valve),,
snail,mollusks (non-bi-valve),,
octopus,mollusks (non-bi-valve),,
limpet,mollusks (non-bi-valve),,
chitin,mollusks (non-bi-valve),,
apple snail,mollusks (non-bi-valve),,
abalone,mollusks (non-bi-valve),,
scallop,mollusks (bi-valve),,
raw blood clam,mollusks (bi-valve),,
oyster,mollusks (bi-valve),,
mussel food source,mollusks (bi-valve),,
clam,mollusks (bi-valve),,
melon fruit,melon fruit,,
sausage,meat,,
salami,meat,,
kafta,meat,,
tea,herbs,,
spice or herb,herbs,,
spice,herbs,,
red leaf,herbs,,
pandan leaf,herbs,,
organic stevia leaf,herbs,,
neem leaf,herbs,,
mucuna pruriens,herbs,,
mimba leaf,herbs,,
herb,herbs,,
dried arnica montana,herbs,,
chaparral leaf,herbs,,
bitterleaf,herbs,,
basil,herbs,,
azadirachta indica,herbs,,
arnica,herbs,,
rice,grains,,
grain,grains,,
flour,grains,,
cereal,grains,,
fungus,fungi,,
fungal,fungi,,
fruit,fruits,,
solid food,food,,
rte food product,food,,
food product by consumer group,food,,
yucca powder,other (flavoring or seasoning),,
shatavari powder,other (flavoring or seasoning),,
seasoning,other (flavoring or seasoning),,
red arbol powder,other (flavoring or seasoning),,
neem powder,other (flavoring or seasoning),,
morinda powder,other (flavoring or seasoning),,
lemongrass powder,other (flavoring or seasoning),,
krachai powder,other (flavoring or seasoning),,
kapi kachu powder,other (flavoring or seasoning),,
habenero powder,other (flavoring or seasoning),,
aloe vera powder,other (flavoring or seasoning),,
rohu egg,fish eggs,,
roe egg,fish eggs,,
labeo rohita egg,fish eggs,,
 ilisha egg,fish eggs,,
whole moon fish,fish,,
threadfin,fish,,
siluriform,fish,,
salmon,fish,,
"rabbitfish (danggit), frozen dried",fish,,
pollack roe,fish,,
lox,fish,,
fresh frozen whole white pomfet,fish,,
finfish,fish,,
dried filefish,fish,,
codfish,fish,,
barramundi,fish,,
waste water,environmental-water,,
river water,environmental-water,,
freshwater,environmental-water,,
fresh water,environmental-water,,
warehouse,environmental-warehouse,,
shop,environmental-retail,,
restaurant,environmental-restaurant,,
research facility,environmental-researchfacility,,
pasture,environmental-pasture,,
work table,environmental-factory/production facility,,
wheels,environmental-factory/production facility,,
wheel,environmental-factory/production facility,,
washroom,environmental-factory/production facility,,
wash station,environmental-factory/production facility,,
wash bay,environmental-factory/production facility,,
warehouse,environmental-factory/production facility,,
wall,environmental-factory/production facility,,
valf,environmental-factory/production facility,,
utensils,environmental-factory/production facility,,
utensil,environmental-factory/production facility,,
ultrafiltration backflush,environmental-factory/production facility,,
trolley,environmental-factory/production facility,,
tray,environmental-factory/production facility,,
trash container,environmental-factory/production facility,,
trash area,environmental-factory/production facility,,
transport rack,environmental-factory/production facility,,
traffic pathway,environmental-factory/production facility,,
toolbox,environmental-factory/production facility,,
tool,environmental-factory/production facility,,
table,environmental-factory/production facility,,
switch,environmental-factory/production facility,,
surface swab,environmental-factory/production facility,,
surface computer screen,environmental-factory/production facility,,
surface,environmental-factory/production facility,,
strainer,environmental-factory/production facility,,
storage hopper,environmental-factory/production facility,,
step to mixer,environmental-factory/production facility,,
squeegie,environmental-factory/production facility,,
squeegee,environmental-factory/production facility,,
spongesicles,environmental-factory/production facility,,
sponge of conveyor belt,environmental-factory/production facility,,
sponge enrichment,environmental-factory/production facility,,
sponge,environmental-factory/production facility,,
spinner,environmental-factory/production facility,,
slicer conveyor,environmental-factory/production facility,,
slicer,environmental-factory/production facility,,
sink interior,environmental-factory/production facility,,
sink handle,environmental-factory/production facility,,
side of weigh scale,environmental-factory/production facility,,
shelf,environmental-factory/production facility,,
screen,environmental-factory/production facility,,
scraper near floor,environmental-factory/production facility,,
scale,environmental-factory/production facility,,
rough floor seam,environmental-factory/production facility,,
restroom,environmental-factory/production facility,,
refuse,environmental-factory/production facility,,
refrigeration unit,environmental-factory/production facility,,
recycle area,environmental-factory/production facility,,
rack,environmental-factory/production facility,,
pvc piping,environmental-factory/production facility,,
pump,environmental-factory/production facility,,
proof box,environmental-factory/production facility,,
production facility,environmental-factory/production facility,,
production area office,environmental-factory/production facility,,
product hopper,environmental-factory/production facility,,
product discharge chute,environmental-factory/production facility,,
processing plant,environmental-factory/production facility,,
processing equipment,environmental-factory/production facility,,
processing environment,environmental-factory/production facility,,
press,environmental-factory/production facility,,
preprocessing plant,environmental-factory/production facility,,
plant boot,environmental-factory/production facility,,
pipeline interior,environmental-factory/production facility,,
picnic pack,environmental-factory/production facility,,
peeler table,environmental-factory/production facility,,
peeler,environmental-factory/production facility,,
pallet & floor,environmental-factory/production facility,,
pallet,environmental-factory/production facility,,
packing machine,environmental-factory/production facility,,
overhead structure,environmental-factory/production facility,,
overhead piping,environmental-factory/production facility,,
overhead pipe,environmental-factory/production facility,,
operational sponge,environmental-factory/production facility,,
office area,environmental-factory/production facility,,
mop,environmental-factory/production facility,,
mixer surface,environmental-factory/production facility,,
mixer platform,environmental-factory/production facility,,
milking equipment,environmental-factory/production facility,,
meat processing facility,environmental-factory/production facility,,
meat plant,environmental-factory/production facility,,
maintenance tool,environmental-factory/production facility,,
maintenance shop,environmental-factory/production facility,,
maintenance area,environmental-factory/production facility,,
lubrication point,environmental-factory/production facility,,
locker room,environmental-factory/production facility,,
loading dock,environmental-factory/production facility,,
loading bay,environmental-factory/production facility,,
knife,environmental-factory/production facility,,
irrigation,environmental-factory/production facility,,
incubator,environmental-factory/production facility,,
hose,environmental-factory/production facility,,
hopper,environmental-factory/production facility,,
holding vat and tank,environmental-factory/production facility,,
hind end,environmental-factory/production facility,,
hatchery,environmental-factory/production facility,,
hands operative,environmental-factory/production facility,,
hand truck,environmental-factory/production facility,,
hallway,environmental-factory/production facility,,
glofe and apron,environmental-factory/production facility,,
from manufacturing process,environmental-factory/production facility,,
freezer surface,environmental-factory/production facility,,
freezer,environmental-factory/production facility,,
forklift,environmental-factory/production facility,,
foot mat,environmental-factory/production facility,,
foot bath,environmental-factory/production facility,,
floor under shelving,environmental-factory/production facility,,
floor seam in cooler,environmental-factory/production facility,,
floor scrubber,environmental-factory/production facility,,
floor or floor mat-entrance,environmental-factory/production facility,,
floor mat,environmental-factory/production facility,,
floor juncture,environmental-factory/production facility,,
floor drain,environmental-factory/production facility,,
floor crack,environmental-factory/production facility,,
floor cleaning tool,environmental-factory/production facility,,
floor,environmental-factory/production facility,,
finished product storage area,environmental-factory/production facility,,
filter,environmental-factory/production facility,,
filling machine,environmental-factory/production facility,,
filler hopper,environmental-factory/production facility,,
filler,environmental-factory/production facility,,
facility,environmental-factory/production facility,,
exterior of food contact equipment,environmental-factory/production facility,,
evironmental sponge,environmental-factory/production facility,,
equipment leg,environmental-factory/production facility,,
equipment housing,environmental-factory/production facility,,
equipment framework,environmental-factory/production facility,,
equipment control panel,environmental-factory/production facility,,
equipment,environmental-factory/production facility,,
environmental surface wipe,environmental-factory/production facility,,
environmental sponges from cooler,environmental-factory/production facility,,
environmental sponges,environmental-factory/production facility,,
environmental sponge sticks,environmental-factory/production facility,,
environmental sponge stick,environmental-factory/production facility,,
environmental sponge from scissors,environmental-factory/production facility,,
environmental sponge from refrigerated storage,environmental-factory/production facility,,
environmental sponge from floor,environmental-factory/production facility,,
environmental sponge from door,environmental-factory/production facility,,
environmental sponge from compactor hall,environmental-factory/production facility,,
environmental sponge,environmental-factory/production facility,,
environmental floor,environmental-factory/production facility,,
environmental facility,environmental-factory/production facility,,
environmental culture,environmental-factory/production facility,,
environmental (forests),environmental-factory/production facility,,
environmenal sponge,environmental-factory/production facility,,
entry access way,environmental-factory/production facility,,
employee hand,environmental-factory/production facility,,
ductwork,environmental-factory/production facility,,
drip shield and housing,environmental-factory/production facility,,
drain,environmental-factory/production facility,,
door assembly,environmental-factory/production facility,,
door,environmental-factory/production facility,,
disposable shoes covers,environmental-factory/production facility,,
disposable boot covers,environmental-factory/production facility,,
discharge chute,environmental-factory/production facility,,
dicer,environmental-factory/production facility,,
dehydrator tray,environmental-factory/production facility,,
dairy plant,environmental-factory/production facility,,
crates,environmental-factory/production facility,,
cracked floor,environmental-factory/production facility,,
crack in floor,environmental-factory/production facility,,
crack floor,environmental-factory/production facility,,
corridor of production area,environmental-factory/production facility,,
cooler,environmental-factory/production facility,,
conveyor belt and scraper,environmental-factory/production facility,,
conveyor belt and bucket,environmental-factory/production facility,,
conveyor belt,environmental-factory/production facility,,
conveyor,environmental-factory/production facility,,
conveyer belt,environmental-factory/production facility,,
control panel and button,environmental-factory/production facility,,
control panel,environmental-factory/production facility,,
condensate drip pan,environmental-factory/production facility,,
compactor hall,environmental-factory/production facility,,
chill unit,environmental-factory/production facility,,
cheese plant,environmental-factory/production facility,,
chard plant,environmental-factory/production facility,,
ceiling drain pipe,environmental-factory/production facility,,
ceiling,environmental-factory/production facility,,
cart,environmental-factory/production facility,,
cafeteria,environmental-factory/production facility,,
butcherblock,environmental-factory/production facility,,
butcher block,environmental-factory/production facility,,
brush inside of dryer,environmental-factory/production facility,,
broom,environmental-factory/production facility,,
brine chiller,environmental-factory/production facility,,
break room,environmental-factory/production facility,,
bowl,environmental-factory/production facility,,
boots,environmental-factory/production facility,,
boiler room,environmental-factory/production facility,,
bin wheel,environmental-factory/production facility,,
bin liner,environmental-factory/production facility,,
bin,environmental-factory/production facility,,
belt,environmental-factory/production facility,,
bedding,environmental-factory/production facility,,
bathroom,environmental-factory/production facility,,
at plant,environmental-factory/production facility,,
air return cover,environmental-factory/production facility,,
air handling unit,environmental-factory/production facility,,
air blower,environmental-factory/production facility,,
factory,environmental-factory,,
construction,environmental-construction,,
shed,environmental-animal housing,,
environmental barn,environmental-animal housing,,
cow shed,environmental-animal housing,,
calf shed,environmental-animal housing,,
cage,environmental-animal housing,,
barn,environmental-animal housing,,
slaughter plant,environmental-abattoir,,
slaughter house,environmental-abattoir,,
livestock trailer floor,environmental-abattoir,,
lairage swab,environmental-abattoir,,
feeder,environmental,,
droppings,environmental,,
abattoir floor,environmental-abattoir,,
abattoir,environmental-abattoir,,
washroom,environmental,,
vacuum cleaner,environmental,,
tote,environmental,,
sponge,environmental,,
slicing machine,environmental,,
rinse,environmental,,
manure,environmental,,
iceberg,environmental,,
environmental swab,environmental,,
environmental material,environmental,,
environmental feature,environmental,,
environmental,environmental,,
environment,environmental,,
drag swab,environmental,,
deli case,environmental,,
conveyor,environmental,,
chicken manure,environmental,,
bedding,environmental,,
surimi,engineered seafood,,
imitation shrimp,engineered seafood,,
imitation scallop,engineered seafood,,
imitation lobster,engineered seafood,,
imitation crab,engineered seafood,,
protein meal,dietary supplement,,
protein blend,dietary supplement,,
marine protein,dietary supplement,,
chlorella powder,dietary supplement,,
animal protein,dietary supplement,,
whole milk,dairy,,
soft cheese,dairy,,
skim milk,dairy,,
provalone,dairy,,
monterey jack,dairy,,
milk,dairy,,
jong gouda,dairy,,
hard cheese,dairy,,
graskaas gouda,dairy,,
dairy,dairy,,
cow milk,dairy,,
boerenkass gouda,dairy,,
blue cheese,dairy,,
shrimp,crustaceans,,
crab,crustaceans,,
calf meat,cow,,
bos taurus,cow,,
pine siskin,other animal,,
pet fish,other animal,,
parrot,other animal,,
parakeet,other animal,,
guinea pig,other animal,,
wound,clinical/research,,
vertebral canal,clinical/research,,
vaginal,clinical/research,,
uterus,clinical/research,,
urine,clinical/research,,
umbilicus,clinical/research,,
ulcer,clinical/research,,
turkey fluff,clinical/research,,
transtracheal wash,clinical/research,,
tract,clinical/research,,
tracheal aspirate,clinical/research,,
trachea,clinical/research,,
tonsil,clinical/research,,
tongue,clinical/research,,
tissues,clinical/research,,
tissue,clinical/research,,
throat,clinical/research,,
thorax,clinical/research,,
thoracentesis,clinical/research,,
swab from meat,clinical/research,,
surgical,clinical/research,,
surgery,clinical/research,,
suet,clinical/research,,
strain,clinical/research,,
stool,clinical/research,,
stomach,clinical/research,,
stall gauze ,clinical/research,,
sputum,clinical/research,,
spleen,clinical/research,,
sinus,clinical/research,,
shoulder,clinical/research,,
septicemia ,clinical/research,,
semen,clinical/research,,
sac,clinical/research,,
rumen,clinical/research,,
rectal swab,clinical/research,,
rectal content,clinical/research,,
rectal,clinical/research,,
preputial ,clinical/research,,
post-intervention,clinical/research,,
post anaerobic diges,clinical/research,,
pooled,clinical/research,,
pool,clinical/research,,
platyrhynchos,clinical/research,,
peritoneal ,clinical/research,,
pericardial ,clinical/research,,
organism substance,clinical/research,,
necropsy,clinical/research,,
neck,clinical/research,,
nasal wash ,clinical/research,,
nasal,clinical/research,,
nares,clinical/research,,
missing,clinical/research,,
lypmth,clinical/research,,
lymphnode,clinical/research,,
lymph,clinical/research,,
listeriosis,clinical/research,,
lip,clinical/research,,
lesion,clinical/research,,
laboratory,clinical/research,,
lab,clinical/research,,
knee,clinical/research,,
intistine,clinical/research,,
intestine,clinical/research,,
intestinal,clinical/research,,
intestin,clinical/research,,
incision site ,clinical/research,,
incision,clinical/research,,
implant,clinical/research,,
ileocecal content,clinical/research,,
hepatic aspirate,clinical/research,,
hair,clinical/research,,
gut,clinical/research,,
gland,clinical/research,,
gastrointestinal,clinical/research,,
from thoracentesis,clinical/research,,
foot,clinical/research,,
fluid ,clinical/research,,
fluid,clinical/research,,
fetus  ,clinical/research,,
fetal ,clinical/research,,
feces,clinical/research,,
fecal,clinical/research,,
face,clinical/research,,
epididymis,clinical/research,,
encephalitis ,clinical/research,,
duodenum,clinical/research,,
discharge,clinical/research,,
dialysis,clinical/research,,
dialysate,clinical/research,,
culturette,clinical/research,,
culture medium,clinical/research,,
culture,clinical/research,,
csf,clinical/research,,
crusting lesion ,clinical/research,,
colostrium,clinical/research,,
colon,clinical/research,,
cloacae,clinical/research,,
cloaca,clinical/research,,
clinical,clinical/research,,
chick paper,clinical/research,,
chemical entity,clinical/research,,
cervical mass,clinical/research,,
cecum,clinical/research,,
cecal,clinical/research,,
ceca,clinical/research,,
cavity,clinical/research,,
catheter tip,clinical/research,,
cartilage,clinical/research,,
carpus,clinical/research,,
caecumâ,clinical/research,,
caecum,clinical/research,,
bursa,clinical/research,,
brain,clinical/research,,
booties,clinical/research,,
blood,clinical/research,,
bladder,clinical/research,,
bile,clinical/research,,
bacterial strain,clinical/research,,
anus,clinical/research,,
antelope,other animal,,
anserini,clinical/research,,
anatomical entity,clinical/research,,
anal ,clinical/research,,
aliquot,clinical/research,,
airsacswab ,clinical/research,,
airsac,clinical/research,,
acilla,clinical/research,,
abscess,clinical/research,,
abortion ,clinical/research,,
abomasum,clinical/research,,
abdominal ,clinical/research,,
gallus gallus,chicken,,
gallus,chicken,,
chicken strip,chicken,,
chicken,chicken,,
broiler,chicken,,
veal,beef,,
tri tip,beef,,
beefhide,beef,,
beef,beef,,
soynut butter,beans,,
bean,beans,,
zigzag scallop,aquatic animals,,
zebra perch,aquatic animals,,
yellowtail snapper,aquatic animals,,
yellowtail scad,aquatic animals,,
yellowtail blue snapper,aquatic animals,,
yellowstripe snapper,aquatic animals,,
yellowstripe scad,aquatic animals,,
yellowstripe goatfish,aquatic animals,,
yellowmouth rockfish,aquatic animals,,
yellowmouth grouper,aquatic animals,,
yellowlip emperor,aquatic animals,,
yellowfin surgeonfish,aquatic animals,,
yellowfin snook,aquatic animals,,
yellowfin menhaden,aquatic animals,,
yellowfin croaker,aquatic animals,,
yellowfiin goatfish,aquatic animals,,
yellowedge grouper,aquatic animals,,
yellowbanded sweetlips,aquatic animals,,
yellow irish lord,aquatic animals,,
yellow goosefish,aquatic animals,,
yellow goatfish,aquatic animals,,
yellow flying fish,aquatic animals,,
yellow chub,aquatic animals,,
yellow bass,aquatic animals,,
yaqui catfish,aquatic animals,,
yangtze sturgeon,aquatic animals,,
whitetipped mackerel scad,aquatic animals,,
whitetip shark,aquatic animals,,
whitetip reef shark,aquatic animals,,
whitespotted greenling,aquatic animals,,
whitemouth jack,aquatic animals,,
whitebone porgy,aquatic animals,,
white-blotched grouper,aquatic animals,,
whitebait smelt,aquatic animals,,
white spot cucumber,aquatic animals,,
white snake mackerel,aquatic animals,,
white shark,aquatic animals,,
white scallop,aquatic animals,,
white sardine,aquatic animals,,
white saddle goatfish,aquatic animals,,
white marlin,aquatic animals,,
white grunt,aquatic animals,,
white eel,aquatic animals,,
western white shrimp,aquatic animals,,
western red lobster,aquatic animals,,
west coast tripletail,aquatic animals,,
west coast sole,aquatic animals,,
wavy lined grouper,aquatic animals,,
washington clam,aquatic animals,,
wartynosed mullet,aquatic animals,,
warsaw grouper,aquatic animals,,
walleye surfperch,aquatic animals,,
volga pikeperch,aquatic animals,,
vermilion snapper,aquatic animals,,
veined rapa whelk,aquatic animals,,
variable coquina,aquatic animals,,
twinspot snapper,aquatic animals,,
tubular sea cucumber,aquatic animals,,
trumpet emperor,aquatic animals,,
true frogs,aquatic animals,,
tropical two-wing flyingfish,aquatic animals,,
tropical flounder,aquatic animals,,
toothed cod,aquatic animals,,
tomato hind,aquatic animals,,
titi shrimp,aquatic animals,,
tiretrack eel,aquatic animals,,
tiger shark,aquatic animals,,
tiger rockfish,aquatic animals,,
tiger grouper,aquatic animals,,
thumbprint emperor,aquatic animals,,
threespot righteye flounder,aquatic animals,,
three-eye flounder,aquatic animals,,
three spot swimming crab,aquatic animals,,
threadfin shad,aquatic animals,,
threadfin jack,aquatic animals,,
threadfin bream,aquatic animals,,
thorn sturgeon,aquatic animals,,
thin-shell littleneck clam,aquatic animals,,
thicktail cardinalfish,aquatic animals,,
thailand moon scallop,aquatic animals,,
teri anchovy,aquatic animals,,
tank goby,aquatic animals,,
tadpole mora,aquatic animals,,
syr darya sturgeon,aquatic animals,,
sydney rock oyster,aquatic animals,,
swordspine rockfish,aquatic animals,,
suwannee bass,aquatic animals,,
surf smelt,aquatic animals,,
sunshine bass,aquatic animals,,
striped triggerfish,aquatic animals,,
striped marlin,aquatic animals,,
striped killifish,aquatic animals,,
striped jack,aquatic animals,,
striped grunt,aquatic animals,,
striped grouper,aquatic animals,,
striped croaker,aquatic animals,,
striped corvina,aquatic animals,,
strawberry hind,aquatic animals,,
stout tagelus,aquatic animals,,
stout moray,aquatic animals,,
stout bobtail squid,aquatic animals,,
stellate sturgeon,aquatic animals,,
star-studded grouper,aquatic animals,,
starspotted grouper,aquatic animals,,
starry triggerfish,aquatic animals,,
starry rockfish,aquatic animals,,
star drum,aquatic animals,,
st. paul spiny lobster,aquatic animals,,
squarespot rockfish,aquatic animals,,
spreadfin skate,aquatic animals,,
spotted wing flyingfish,aquatic animals,,
spotted turbot,aquatic animals,,
spotted sunfish,aquatic animals,,
spotted snakehead,aquatic animals,,
spotted seerfish,aquatic animals,,
spotted sand bass,aquatic animals,,
spotted jack,aquatic animals,,
spotted hake,aquatic animals,,
spotted goatfish,aquatic animals,,
spotted eagle ray,aquatic animals,,
spotted cardinalfish,aquatic animals,,
spottail spiny turbot,aquatic animals,,
spottail porgies,aquatic animals,,
spot-tail mantis shrimp,aquatic animals,,
spotfin hogfish,aquatic animals,,
spotfin flyingfish,aquatic animals,,
spotfin croaker,aquatic animals,,
spot shrimp,aquatic animals,,
splittail bass,aquatic animals,,
spinytail skate,aquatic animals,,
spinycheek grouper,aquatic animals,,
spiny scallop,aquatic animals,,
spinner shark,aquatic animals,,
spinetail mobula,aquatic animals,,
speckled squirrelfish,aquatic animals,,
speckled shrimp,aquatic animals,,
speckled dwarf grouper,aquatic animals,,
speckled blue grouper,aquatic animals,,
spanner crab,aquatic animals,,
spanish slipper lobster,aquatic animals,,
spanish hogfish,aquatic animals,,
spanish grunt,aquatic animals,,
spangled emperor,aquatic animals,,
southwest atlantic butterfish,aquatic animals,,
southern white shrimp,aquatic animals,,
southern scallop,aquatic animals,,
southern rock sole,aquatic animals,,
southern reef squid,aquatic animals,,
southern rays bream,aquatic animals,,
southern puffer,aquatic animals,,
southern pigfish,aquatic animals,,
southern eagle ray,aquatic animals,,
southern brown shrimp,aquatic animals,,
southern anchovy,aquatic animals,,
south african kingklip,aquatic animals,,
solid sanguin clam,aquatic animals,,
sohachi flounder,aquatic animals,,
softshell turtles,aquatic animals,,
snubnose pompano,aquatic animals,,
snubnose grouper,aquatic animals,,
snowy grouper,aquatic animals,,
snake-skinned gourami,aquatic animals,,
smoothtail spiny lobster,aquatic animals,,
smoothtail mobula,aquatic animals,,
smooth trunkfish,aquatic animals,,
smooth skate,aquatic animals,,
smooth puffer,aquatic animals,,
smooth nylon shrimp,aquatic animals,,
smallwing flyingfish,aquatic animals,,
smalltoothed flounder,aquatic animals,,
smallmouth grunt,aquatic animals,,
smallmouth buffalo,aquatic animals,,
smallhead hairtail,aquatic animals,,
smalleye croaker,aquatic animals,,
small scaled mud carp,aquatic animals,,
slough anchovy,aquatic animals,,
slider turtles,aquatic animals,,
slender lizardfish,aquatic animals,,
slender grouper,aquatic animals,,
slender emperor,aquatic animals,,
sky emperor,aquatic animals,,
skipjack herring,aquatic animals,,
sixgill shark,aquatic animals,,
sixbar grouper,aquatic animals,,
silvertip shark,aquatic animals,,
silvergray rockfish,aquatic animals,,
silver sillago,aquatic animals,,
silver seatrout,aquatic animals,,
silver roughy,aquatic animals,,
silver porgy,aquatic animals,,
silver pomfret,aquatic animals,,
silver croaker,aquatic animals,,
silver anchovy,aquatic animals,,
silky shark,aquatic animals,,
siberian sturgeon,aquatic animals,,
shovelnose sturgeon,aquatic animals,,
shovelnose guitarfish,aquatic animals,,
shortraker rockfish,aquatic animals,,
shortnosed flyingfish,aquatic animals,,
shortneck clam,aquatic animals,,
shortjaw cisco,aquatic animals,,
shorthead redhorse sucker,aquatic animals,,
shortfin weakfish,aquatic animals,,
shortbelly rockfish,aquatic animals,,
short bigeye,aquatic animals,,
shiner surfperch,aquatic animals,,
sheep crab,aquatic animals,,
sharptooth swimming crab,aquatic animals,,
sharpnosed puffers,aquatic animals,,
sharpnose mullet,aquatic animals,,
sharpchin rockfish,aquatic animals,,
sharpchin flyingfish,aquatic animals,,
seven-spine bay shrimp,aquatic animals,,
sevengill shark,aquatic animals,,
serrated swimming crab,aquatic animals,,
senegalese sole,aquatic animals,,
semaphore rockfish,aquatic animals,,
scarlet squirrelfish,aquatic animals,,
scallop saucer,aquatic animals,,
sawtooth penshell,aquatic animals,,
sandpaper skate,aquatic animals,,
sand-divers,aquatic animals,,
sand tilefish,aquatic animals,,
sand drum,aquatic animals,,
sand diver,aquatic animals,,
sand crab,aquatic animals,,
san diego scallop,aquatic animals,,
sakura shrimp,aquatic animals,,
sailfin snapper,aquatic animals,,
sailfin flyingfish,aquatic animals,,
saffron cod,aquatic animals,,
saddleback snapper,aquatic animals,,
sacramento perch,aquatic animals,,
sabah grouper,aquatic animals,,
russian sturgeon,aquatic animals,,
rufous snapper,aquatic animals,,
ruby snapper,aquatic animals,,
roundel skate,aquatic animals,,
round whitefish,aquatic animals,,
round headed anchovy,aquatic animals,,
roughtail skate,aquatic animals,,
roughscale sole,aquatic animals,,
roughnose grenadier,aquatic animals,,
rougheye rockfish,aquatic animals,,
rough triggerfish,aquatic animals,,
rough leatherjacket,aquatic animals,,
rough keyhole limpet,aquatic animals,,
rosy rockfish,aquatic animals,,
