CHEBI_10607,n-propyl gallate
CHEBI_25812,ozone
CHEBI_25830,p-quinones
CHEBI_25835,hexadecanoate ester
CHEBI_25848,pantothenic acids
CHEBI_25899,pentitol
CHEBI_25900,aldopentose phosphate
CHEBI_25903,peptide antibiotic
CHEBI_26020,phosphate
CHEBI_26078,phosphoric acid
CHEBI_26079,phosphoric acid derivative
CHEBI_26082,phosphorus molecular entity
CHEBI_26106,phylloquinones
CHEBI_26127,phytylnaphthoquinone
CHEBI_26178,polyester macromolecule
CHEBI_26188,polyketide
CHEBI_26191,polyol
CHEBI_26195,polyphenol
CHEBI_26197,polyphosphates
CHEBI_26208,polyunsaturated fatty acid
CHEBI_26214,porphyrins
CHEBI_26216,potassium atom
CHEBI_26217,potassium molecular entity
CHEBI_26218,potassium salt
CHEBI_26255,prenylquinone
CHEBI_26284,"propane-1,2-diols"
CHEBI_26288,propanediol
CHEBI_26373,pteridines
CHEBI_26375,pterins
CHEBI_26384,pullulans
CHEBI_26392,purine nucleoside monophosphate
CHEBI_26393,purine nucleoside triphosphate
CHEBI_26395,purine nucleotide
CHEBI_26397,purine ribonucleoside monophosphate
CHEBI_26398,purine ribonucleoside triphosphate
CHEBI_26400,purine ribonucleotide
CHEBI_26401,purines
CHEBI_26416,pyridine alkaloid
CHEBI_26420,pyridinemonocarboxylic acid
CHEBI_26421,pyridines
CHEBI_26490,quinate
CHEBI_26513,quinolines
CHEBI_26519,radical
CHEBI_26523,reactive oxygen species
CHEBI_26537,retinoid
CHEBI_26558,ribonucleoside monophosphate
CHEBI_26561,ribonucleotide
CHEBI_26562,ribose phosphate
CHEBI_26607,saturated fatty acid
CHEBI_26650,serine family amino acid
CHEBI_26666,short-chain fatty acid
CHEBI_26677,silicon molecular entity
CHEBI_26708,sodium atom
CHEBI_26710,sodium chloride
CHEBI_26712,sodium molecular entity
CHEBI_26714,sodium salt
CHEBI_26764,steroid hormone
CHEBI_26816,carbohydrate phosphate
CHEBI_26819,sulfuric ester
CHEBI_26820,sulfates
CHEBI_26822,sulfide
CHEBI_26823,sulfites
CHEBI_26833,sulfur atom
CHEBI_26834,sulfur-containing amino acid
CHEBI_26835,sulfur molecular entity
CHEBI_26836,sulfuric acid
CHEBI_26873,terpenoid
CHEBI_26932,tetrapyrrole
CHEBI_26933,tetraric acid
CHEBI_26935,tetraterpenoid
CHEBI_26948,thiamine
CHEBI_26979,organic heterotricyclic compound
CHEBI_26986,threonine
CHEBI_27013,tocopherol
CHEBI_27026,toxin
CHEBI_27027,micronutrient
CHEBI_2706,Anatoxin a
CHEBI_27081,transition element atom
CHEBI_27093,tricarboxylic acid
CHEBI_27115,trihydroxybenzoic acid
CHEBI_27136,triol
CHEBI_27153,monoatomic trication
CHEBI_27171,organic heterobicyclic compound
CHEBI_27208,unsaturated fatty acid
CHEBI_27275,vanadium molecular entity
CHEBI_27283,very long-chain fatty acid
CHEBI_27300,vitamin D
CHEBI_27306,vitamin B6
CHEBI_27314,water-soluble vitamin
CHEBI_27325,xanthophyll
CHEBI_27338,xylene
CHEBI_27363,zinc atom
CHEBI_27364,zinc molecular entity
CHEBI_27470,folic acid
CHEBI_27560,boron atom
CHEBI_27563,arsenic atom
CHEBI_27573,silicon atom
CHEBI_27594,carbon atom
CHEBI_27780,detergent
CHEBI_27786,hydroxocobalamin
CHEBI_27798,nitrobenzene
CHEBI_27856,acetamide
CHEBI_27889,lead0
CHEBI_27941,pullulan
CHEBI_28073,chromium atom
CHEBI_28112,nickel atom
CHEBI_28260,GALACTOSE
CHEBI_28383,"alpha,omega-dicarboxylic acid"
CHEBI_28384,vitamin K
CHEBI_28659,phosphorus atom
CHEBI_28694,copper atom
CHEBI_28757,FRUCTOSE
CHEBI_2877,aspartame
CHEBI_28793,beta-D-glucan
CHEBI_28803,pyridoxine 5'-phosphate
CHEBI_28838,lutein
CHEBI_28868,fatty acid anion
CHEBI_28934,vitamin D2
CHEBI_28938,ammonium
CHEBI_28940,calciol
CHEBI_28966,chlorophyll
CHEBI_28972,"R-propane-1,2-diol"
CHEBI_28976,carbonic acid
CHEBI_29067,carboxylic acid anion
CHEBI_29075,mononucleotide
CHEBI_29125,arsenate3-
CHEBI_29228,hydrogen fluoride
CHEBI_29233,deuteron
CHEBI_29237,deuterium atom
CHEBI_29337,azanide
CHEBI_29347,monocarboxylic acid amide
CHEBI_29377,sodium carbonate
CHEBI_29412,oxonium
CHEBI_29438,methanide
CHEBI_29864,mannitol
CHEBI_29919,hydrosulfide
CHEBI_30050,gold0
CHEBI_30052,copper0
CHEBI_30059,potassium hexacyanoferrate4-
CHEBI_30061,sodium hexacyanoferrate4-
CHEBI_30187,aluminium oxide
CHEBI_30356,isobutyl group
CHEBI_30363,isobutane
CHEBI_30496,sulfur hexafluoride
CHEBI_30513,antimony atom
CHEBI_30514,caesium atom
CHEBI_30527,flavin
CHEBI_30563,silicon dioxide
CHEBI_30618,hydroxypropyl methylcellulose
CHEBI_30746,benzoic acid
CHEBI_30762,salicylate
CHEBI_30768,propionic acid
CHEBI_30769,citric acid
CHEBI_30832,adipic acid
CHEBI_30879,alcohol
CHEBI_30911,SORBITOL
CHEBI_30961,pyridoxine hydrochloride
CHEBI_31001,octacosanoic acid
CHEBI_31002,octacosanoate
CHEBI_31344,calcium oxide
CHEBI_31345,Calcium pantothenate
CHEBI_31346,calcium sulfate
CHEBI_3136,bixin
CHEBI_31577,ethylenediamine derivative
CHEBI_31608,Ferrous gluconate
CHEBI_31793,magnesium carbonate
CHEBI_31794,magnesium oxide
CHEBI_31835,methylparaben
CHEBI_32029,potassium acetate
CHEBI_32032,Potassium gluconate
CHEBI_32035,potassium hydroxide
CHEBI_32036,potassium sulfate
CHEBI_32063,propylparaben
CHEBI_32095,retinyl acetate
CHEBI_32111,saccharin
CHEBI_32112,Saccharin sodium
CHEBI_32139,sodium hydrogencarbonate
CHEBI_32145,sodium hydroxide
CHEBI_32149,sodium sulfate
CHEBI_32159,sucralose
CHEBI_32178,Talc
CHEBI_32234,titanium dioxide
CHEBI_32321,alpha-Tocopherol acetate
CHEBI_32588,potassium chloride
CHEBI_32627,leucinate
CHEBI_32628,leucinium
CHEBI_32876,tertiary amine
CHEBI_32879,propane
CHEBI_32952,amine
CHEBI_32954,sodium acetate
CHEBI_32988,amide
CHEBI_3309,Calcium Gluconate
CHEBI_3310,calcium acetate
CHEBI_3311,calcium carbonate
CHEBI_33118,boric acid
CHEBI_3312,calcium dichloride
CHEBI_33145,boron oxoacid
CHEBI_33229,vitamin
CHEBI_33232,application
CHEBI_33234,vitamin E
CHEBI_33238,monoatomic entity
CHEBI_33240,coordination entity
CHEBI_33241,oxoacid derivative
CHEBI_33242,inorganic hydride
CHEBI_33245,organic fundamental parent
CHEBI_33247,organic group
CHEBI_33248,hydrocarbyl group
CHEBI_33249,organyl group
CHEBI_33250,atom
CHEBI_33251,monoatomic hydrogen
CHEBI_33252,atomic nucleus
CHEBI_33256,primary amide
CHEBI_33257,secondary amide
CHEBI_33259,elemental molecular entity
CHEBI_33260,elemental hydrogen
CHEBI_33261,organosulfur compound
CHEBI_33262,elemental oxygen
CHEBI_33263,diatomic oxygen
CHEBI_33265,triatomic oxygen
CHEBI_33266,diatomic nitrogen
CHEBI_33267,elemental nitrogen
CHEBI_33273,polyatomic anion
CHEBI_33280,molecular messenger
CHEBI_33281,antimicrobial agent
CHEBI_33284,nutrient
CHEBI_33285,heteroorganic entity
CHEBI_33286,agrochemical
CHEBI_33287,fertilizer
CHEBI_33290,food
CHEBI_33292,fuel
CHEBI_33296,alkali metal molecular entity
CHEBI_33299,alkaline earth molecular entity
CHEBI_33300,pnictogen
CHEBI_33302,pnictogen molecular entity
CHEBI_33303,chalcogen
CHEBI_33304,chalcogen molecular entity
CHEBI_33306,carbon group element atom
CHEBI_33308,carboxylic ester
CHEBI_33317,boron group element atom
CHEBI_33318,main group element atom
CHEBI_33324,strontium atom
CHEBI_33327,silicon oxide
CHEBI_33340,zinc group element atom
CHEBI_33350,chromium group element atom
CHEBI_33352,manganese group element atom
CHEBI_33356,iron group element atom
CHEBI_33362,nickel group element atom
CHEBI_33366,copper group element atom
CHEBI_33400,platinum0
CHEBI_33402,sulfur oxoacid
CHEBI_33405,hydracid
CHEBI_33408,pnictogen oxoacid
CHEBI_33415,elemental carbon
CHEBI_33424,sulfur oxoacid derivative
CHEBI_33429,monoatomic monoanion
CHEBI_33431,elemental chlorine
CHEBI_33432,monoatomic chlorine
CHEBI_33433,monoatomic halogen
CHEBI_33434,elemental halogen
CHEBI_33447,phospho sugar
CHEBI_33455,nitrogen oxoacid
CHEBI_33457,phosphorus oxoacid
CHEBI_33458,nitrogen oxoanion
CHEBI_33459,pnictogen oxoanion
CHEBI_33461,phosphorus oxoanion
CHEBI_33465,elemental pnictogen
CHEBI_33482,sulfur oxoanion
CHEBI_33484,chalcogen oxoacid
CHEBI_33485,chalcogen oxoanion
CHEBI_33497,transition element molecular entity
CHEBI_33498,actinoid molecular entity
CHEBI_33499,uranium molecular entity
CHEBI_33521,metal atom
CHEBI_33535,sulfur hydride
CHEBI_33552,sulfonic acid derivative
CHEBI_33558,alpha-amino-acid anion
CHEBI_33559,s-block element atom
CHEBI_33560,p-block element atom
CHEBI_33561,d-block element atom
CHEBI_33575,carboxylic acid
CHEBI_33576,sulfur-containing carboxylic acid
CHEBI_33579,main group molecular entity
CHEBI_33581,boron group molecular entity
CHEBI_33582,carbon group molecular entity
CHEBI_33583,noble gas molecular entity
CHEBI_33585,lead molecular entity
CHEBI_33595,cyclic compound
CHEBI_33597,homocyclic compound
CHEBI_33598,carbocyclic compound
CHEBI_33608,hydrogen molecular entity
CHEBI_33619,boron oxoanion
CHEBI_3362,canthaxanthin
CHEBI_33620,aluminium molecular entity
CHEBI_33623,aluminium oxides
CHEBI_33627,monoatomic aluminium
CHEBI_33628,elemental aluminium
CHEBI_33635,polycyclic compound
CHEBI_33636,bicyclic compound
CHEBI_33637,ortho-fused compound
CHEBI_33640,polycyclic cage
CHEBI_33653,aliphatic compound
CHEBI_33655,aromatic compound
CHEBI_33658,arene
CHEBI_33659,organic aromatic compound
CHEBI_33661,monocyclic compound
CHEBI_33663,cyclic hydrocarbon
CHEBI_33666,polycyclic hydrocarbon
CHEBI_33670,heteromonocyclic compound
CHEBI_33671,heteropolycyclic compound
CHEBI_33672,heterobicyclic compound
CHEBI_33673,zinc group molecular entity
CHEBI_33674,s-block molecular entity
CHEBI_33675,p-block molecular entity
CHEBI_33676,d-block molecular entity
CHEBI_33677,f-block molecular entity
CHEBI_33679,helium molecular entity
CHEBI_33680,elemental helium
CHEBI_33687,diatomic helium
CHEBI_33692,hydrides
CHEBI_33693,oxygen hydride
CHEBI_33694,biomacromolecule
CHEBI_33702,polyatomic cation
CHEBI_33703,amino-acid cation
CHEBI_33704,alpha-amino acid
CHEBI_33709,amino acid
CHEBI_33719,alpha-amino-acid cation
CHEBI_33720,carbohydrate acid
CHEBI_33729,tetritol
CHEBI_33741,chromium group molecular entity
CHEBI_33744,iron group molecular entity
CHEBI_33745,copper group molecular entity
CHEBI_33746,vanadium group molecular entity
CHEBI_33747,nickel group molecular entity
CHEBI_33749,platinum molecular entity
CHEBI_3375,capsanthin
CHEBI_33752,hexonic acid
CHEBI_33767,cobalt group molecular entity
CHEBI_33768,titanium group molecular entity
CHEBI_33822,organic hydroxy compound
CHEBI_33832,organic cyclic compound
CHEBI_33833,heteroarene
CHEBI_33836,benzenoid aromatic compound
CHEBI_33839,macromolecule
CHEBI_33847,monocyclic arene
CHEBI_33848,polycyclic arene
CHEBI_33853,phenols
CHEBI_33854,aromatic alcohol
CHEBI_33855,arenecarbaldehyde
CHEBI_33859,aromatic carboxylic acid
CHEBI_33860,aromatic amine
CHEBI_33861,transition element coordination entity
CHEBI_33888,cobalt molecular entity
CHEBI_33890,cobalt coordination entity
CHEBI_33892,iron coordination entity
CHEBI_33893,reagent
CHEBI_33906,cobalt corrinoid
CHEBI_33909,metallotetrapyrrole
CHEBI_33913,corrinoid
CHEBI_33917,aldohexose
CHEBI_33937,macronutrient
CHEBI_33958,halide salt
CHEBI_33964,silver molecular entity
CHEBI_33966,elemental silver
CHEBI_33969,gold molecular entity
CHEBI_33970,elemental gold
CHEBI_33975,magnesium salt
CHEBI_33976,magnesium coordination entity
CHEBI_33977,metallic base
CHEBI_33978,alkali metal hydroxide
CHEBI_33989,alkaline earth hydroxide
CHEBI_34247,"2,6-di-tert-butyl-4-methylphenol"
CHEBI_3435,carrageenan
CHEBI_34533,Amaranth
CHEBI_34683,disodium hydrogenphosphate
CHEBI_34970,saxitoxin
CHEBI_35106,nitrogen hydride
CHEBI_35107,azane
CHEBI_35131,aldose phosphate
CHEBI_35149,magnesium hydroxide
CHEBI_35150,calcium hydroxide
CHEBI_35156,calcium salt
CHEBI_35162,acyclic carotene
CHEBI_35163,cyclic carotene
CHEBI_35170,vanadium0
CHEBI_35171,elemental vanadium
CHEBI_35175,sulfate salt
CHEBI_35186,terpene
CHEBI_35193,tetraterpene
CHEBI_35195,surfactant
CHEBI_35196,nitrogen oxide
CHEBI_35204,tracer
CHEBI_35209,label
CHEBI_35217,alkaline earth coordination entity
CHEBI_35222,inhibitor
CHEBI_35230,fossil fuel
CHEBI_35274,ammonium ion
CHEBI_35276,ammonium compound
CHEBI_35286,iminium ion
CHEBI_35293,fused compound
CHEBI_35294,carbopolycyclic compound
CHEBI_35295,homopolycyclic compound
CHEBI_35296,ortho-fused polycyclic arene
CHEBI_35310,carotenone
CHEBI_35311,carotenoic acid
CHEBI_35313,hexoside
CHEBI_35341,steroid
CHEBI_35343,17beta-hydroxy steroid
CHEBI_35350,hydroxy steroid
CHEBI_35352,organonitrogen compound
CHEBI_35358,sulfonamide
CHEBI_35366,fatty acid
CHEBI_35381,monosaccharide
CHEBI_35402,chromium oxoanion
CHEBI_35403,chromium coordination entity
CHEBI_35404,chromate2-
CHEBI_35405,transition element oxoanion
CHEBI_35406,oxoanion
CHEBI_35426,ortho-fused bicyclic arene
CHEBI_35427,ortho-fused polycyclic hydrocarbon
CHEBI_35428,ortho-fused bicyclic hydrocarbon
CHEBI_35433,calcium bisdihydrogenphosphate
CHEBI_35436,D-glucoside
CHEBI_35441,antiinfective agent
CHEBI_35479,alkali metal salt
CHEBI_35480,analgesic
CHEBI_35504,addition compound
CHEBI_35505,hydrate
CHEBI_35510,aluminium salt
CHEBI_35552,heterocyclic organic fundamental parent
CHEBI_35554,cardiovascular drug
CHEBI_35604,carbon oxoanion
CHEBI_35605,carbon oxoacid
CHEBI_35618,aromatic ether
CHEBI_35620,vasodilator agent
CHEBI_35681,secondary alcohol
CHEBI_35692,dicarboxylic acid
CHEBI_35701,ester
CHEBI_35715,nitro compound
CHEBI_35716,C-nitro compound
CHEBI_35724,carbohydrate sulfate
CHEBI_35742,tetracarboxylic acid
CHEBI_35748,fatty acid ester
CHEBI_35757,monocarboxylic acid anion
CHEBI_35776,arsenic oxoanion
CHEBI_35780,phosphate ion
CHEBI_35788,seco-steroid
CHEBI_35789,oxo steroid
CHEBI_35868,hydroxy monocarboxylic acid
CHEBI_35875,imidazopyrimidine
CHEBI_35881,pnictogen hydride
CHEBI_35962,sorbic acid
CHEBI_35990,bridged compound
CHEBI_36054,benzoate ester
CHEBI_36059,hydroxy monocarboxylic acid anion
CHEBI_36093,inorganic chloride
CHEBI_36094,organic chloride salt
CHEBI_36125,cyclitol carboxylic acid anion
CHEBI_36141,quinone
CHEBI_36233,disaccharide
CHEBI_36244,dicarboxylic acid monoester
CHEBI_36294,hexacyanoferrate4- salt
CHEBI_36295,hexacyanoferrate salt
CHEBI_36309,cyclic tetrapyrrole
CHEBI_36342,subatomic particle
CHEBI_36347,nuclear particle
CHEBI_36357,polyatomic entity
CHEBI_36358,polyatomic ion
CHEBI_36359,phosphorus oxoacid derivative
CHEBI_36360,phosphorus oxoacids and derivatives
CHEBI_36364,alkaline earth salt
CHEBI_36388,saturated organic heterocyclic parent
CHEBI_36389,saturated organic heteromonocyclic parent
CHEBI_36468,polycyclic ether
CHEBI_36562,main-group coordination entity
CHEBI_36586,carbonyl compound
CHEBI_36587,organic oxo compound
CHEBI_36683,organochlorine compound
CHEBI_36684,organohalogen compound
CHEBI_36688,heterotricyclic compound
CHEBI_36785,carbobicyclic compound
CHEBI_36807,hydrochloride
CHEBI_36818,seco-cholestane
CHEBI_36819,seco-ergostane
CHEBI_36820,ring assembly
CHEBI_36830,monoanion
CHEBI_36838,17-hydroxy steroid
CHEBI_36853,hydroxy seco-steroid
CHEBI_36871,inorganic radical
CHEBI_36874,radical cation
CHEBI_36875,radical ion
CHEBI_36878,inorganic radical ion
CHEBI_36879,inorganic radical cation
CHEBI_36892,elemental fluorine
CHEBI_36895,monoatomic fluorine
CHEBI_36902,chalcogen hydride
CHEBI_36907,neon molecular entity
CHEBI_36908,argon molecular entity
CHEBI_36909,krypton molecular entity
CHEBI_36914,inorganic ion
CHEBI_36915,inorganic cation
CHEBI_36916,cation
CHEBI_36934,nitrogen-15 atom
CHEBI_36961,chalcocarbonic acid
CHEBI_36962,organochalcogen compound
CHEBI_36963,organooxygen compound
CHEBI_36970,vitamin B6 phosphate
CHEBI_36976,nucleotide
CHEBI_36980,pyridine nucleotide
CHEBI_36981,flavin nucleotide
CHEBI_37007,nicotinamide dinucleotide
CHEBI_37010,ribonucleoside 5'-monophosphate
CHEBI_37015,ribonucleoside 5'-phosphate
CHEBI_37021,purine ribonucleoside 5'-monophosphate
CHEBI_37022,amino-acid anion
CHEBI_37045,purine ribonucleoside 5'-triphosphate
CHEBI_37076,ribonucleoside 5'-triphosphate
CHEBI_37096,adenosine 5'-phosphate
CHEBI_37142,organoiodine compound
CHEBI_37163,glucan
CHEBI_37164,homopolysaccharide
CHEBI_37175,organic hydride
CHEBI_37176,mononuclear parent hydride
CHEBI_37193,elemental lead
CHEBI_37217,titanium molecular entity
CHEBI_37332,tropane alkaloid
CHEBI_37404,elemental copper
CHEBI_37407,cyclic ether
CHEBI_37445,folic acids
CHEBI_37527,acid
CHEBI_37576,gallate ester
CHEBI_37577,heteroatomic molecular entity
CHEBI_37578,halide
CHEBI_37583,trisodium phosphate
CHEBI_37585,sodium dihydrogenphosphate
CHEBI_37586,sodium phosphate
CHEBI_37622,carboxamide
CHEBI_37716,mixed diacylamine
CHEBI_37734,phosphoric ester
CHEBI_37808,butane
CHEBI_37826,sulfuric acid derivative
CHEBI_37929,xanthene dye
CHEBI_37944,polysaccharide sulfate
CHEBI_37947,benzothiazoles
CHEBI_37997,homopolymer macromolecule
CHEBI_38077,polypyrrole
CHEBI_38101,organonitrogen heterocyclic compound
CHEBI_38104,oxacycle
CHEBI_38106,organosulfur heterocyclic compound
CHEBI_38166,organic heteropolycyclic compound
