Code,Description
samp180,veggie booty with spinach and kale
samp181,five spice powder
samp182,pabda
samp183,"animal feed, soybean meal"
samp184,swab
samp185,fresh spinach
samp186,pond water
samp187,Comminuted poultry
samp188,"pet treat, pig ear strips"
samp189,Homo sapiens; clinical; Homo sapiens
samp190,Porcine Feces
samp191,tuna cubes
samp192,leafy greens
samp193,Comminuted Beef
samp194,jalapeno pepper
samp195,seagull
samp196,ham
samp197,produce
samp198,Bovine Lung; Bos taurus
samp199,"animal feed, dairy cattle feed"
samp200,frz yellow croaker
samp201,sprout water-alfalfa
samp202,papaya
samp203,Porcine Tissue
samp204,environmental swabs
samp205,Bovine (feed)
samp206,Porcine Liver
samp207,Bovine (culture medium)
samp208,environmental swab: production facility
samp209,oregano
samp210,Porcine
samp211,water (10 gal)
samp212,anthropogenic; organic; organic
samp213,"irrigation water, site c"
samp214,"water, stream"
samp215,porcine (necropsy-intestine)
samp216,vine-ripe red tomatoes
samp217,avian (feces)
samp218,equine (feces)
samp219,Bovine (jejunum)
samp220,Bovine (necropsy)
samp221,frz tilapia
samp222,Elk (feces)
samp223,"frozen mahi strips skinless,boneless"
samp224,Faeces; Homo sapiens
samp225,Other; Homo sapiens
samp226,Canine (feces)
samp227,Tortoise (feces)
samp228,Snake (feces)
samp229,macadamia nuts
samp230,Camel (feces)
samp231,Mule deer (feces)
samp232,Bovine (multiple tissues)
samp233,Bovine Tissue; Bos taurus
samp234,"frz white shrimp, headless, shell-on"
samp235,environmental sample
samp236,chaparral leaf
samp237,Chicken Feces
samp238,helianthus camade   herbal tea
samp239,pasilla peppers
samp240,tahini
samp241,profence herbs
samp242,Canine (eye)
samp243,rubber gasket and metal strip
samp244,spice agushi
samp245,drag swab
samp246,Cow Liver
samp247,Bird Stool
samp248,Bird Pericardium
samp249,Cow Stool
samp250,"snails, frz"
samp251,red nilotica
samp252,dry oregano
samp253,Lasagna
samp254,frozen cleaned crab
samp255,barramundi filets
samp256,Cow; Bos taurus
samp257,surface water sample
samp258,Boneless skinless chicken breast
samp259,rinse
samp260,Thin sliced chicken breast
samp261,Chicken; Gallus gallus
samp262,dried arnica
samp263,FOOD-Turkey
samp264,pecans truffles
samp265,Turkey; Turkey
samp266,Alpaca feces; Alpaca
samp267,stool sample; Homo sapiens
samp268,peanut butter
samp269,ground cumin
samp270,frozen anchovy fish
samp271,chicken breast rinse
samp272,equine; Horse
samp273,equine liver; Horse
samp274,hilsha fish
samp275,kashmiri mix snack
samp276,red meat spice rub
samp277,BAGGED LETTUCE
samp278,ground chicken
samp279,papayas
samp280,frozen whole sand goby
samp281,bovine; Bos taurus
samp282,Chicken Legs
samp283,Water in an irrigation pond
samp284,"Lettuce, Romaine"
samp285,Hamburger
samp286,raw fresh cilantro
samp287,"albacore saku, frz"
samp288,blend of spices
samp289,Cheese
samp290,Water from an irrigation pond
samp291,Drag Swab-Poultry
samp292,leafy green leaf
samp293,Suwannee river water
samp294,thyme leaves
samp295,Avian (necropsy)
samp296,jalapeno peppers
samp297,"black tiger shrimp, raw, frz"
samp298,Mayonnaise
samp299,frozen shrimp
samp300,Amphibian from an irrigation pond; Trachemys scripta
samp301,curry powder
samp302,"cleaned, climbing perch"
samp303,Feline Feces
samp304,Sheep; Sheep
samp305,frozen cooked apple snail meat
samp306,Turtle from an irrigation pond; Trachemys scripta
samp307,squid tubes & tentacles
samp308,Sus scrofa; intestin
samp309,Porcine Lung
samp310,Animal-Cattle-Dairy Cow
samp311,Animal-Cattle-Steer
samp312,cottonseed
samp313,gecko gecko
samp314,instant noodle
samp315,Homo sapiens; Human
samp316,porcine meat
samp317,Shelled Brazilian Nuts
samp318,Bitis arietans faeces
samp319,chia powder
samp320,livestock-associated habitat; livestock-associated habitat; ground beef
samp321,Animal-Turkey-Young Turkey
samp322,Food(Aniseed)
samp323,Walnuts
samp324,Animal-Cattle-Beef Cow
samp325,Pig marrow
samp326,equine
samp327,Gallus gallus domesticus; chicken feces
samp328,Human
samp329,Python
samp330,Crocodile
samp331,Animal-Calf
samp332,Sheep
samp333,Wild Rodent
samp334,Finch
samp335,Red Junglefowl
samp336,Coconut
samp337,Goat
samp338,Iceberg Lettuce
samp339,vegetarian instant rice noodle
samp340,"kangaroo powder, pet food"
samp341,chicken house
samp342,NRTE (Not-Ready-to-Eat) Comminuted Poultry Exploratory Sampling - Turkeys
samp343,Animal-Swine-Roaster Swine
samp344,raw macadamia nuts
samp345,avocado
samp346,mink lung; Neovison vison
samp347,grouper fillet
samp348,"spice, chili molido medium hot"
samp349,dried soup
samp350,frz grated coconut
samp351,frz. sheet fish
samp352,basil fines
samp353,Bovine (Lymph node); Bos sp.
samp354,halva nuts
samp355,Larus dominicanus; Kelp gull
samp356,"chili powder, 55lb sack"
samp357,sambar powder
samp358,porcine; Pig
samp359,frozen lobster tails
samp360,HOUSE SPARROW
samp361,"frozen, peeled butterfly shrimp"
samp362,speckled trout
samp363,spinach
samp364,snapper cut fillets
samp365,Food
samp366,"environmental sponge, swab, or sponge-stick"
samp367,Lunchmeat
samp368,red snapper
samp369,shoil (freshwater shark)
samp370,Bos taurus; bovine liver
samp371,environmental isolate
samp372,Didelphis virginiana; Little River Basin; opossum; fecal sample
samp373,"grey mullet, whole round, frz"
samp374,"frozen milkfish, whole; Chanos chanos"
samp375,frz black tiger shirmp
samp376,fresh pineapple
samp377,frz rock lobster tails
samp378,chipolte chili powder
samp379,dry chili powder
samp380,fresh crabmeat super lump
samp381,ground sage
samp382,dried fish
samp383,animal feces
samp384,lemon grass tea
samp385,duck; Anas boschas domestica
samp386,soil from field
samp387,turkey
samp388,"scad, fzn wild caught (fish)"
samp389,"animal feed, canola meal"
samp390,dog treats
samp391,minced beef
samp392,frozen squid
samp393,egg yolks
samp394,brazil nuts
samp395,hulled sesame seed
samp396,scallops
samp397,blood; Homo sapiens
samp398,basil
samp399,squid
samp400,water sample
samp401,pond sediment
samp402,"cake, countryside"
samp403,cumin powder
samp404,Porcine (necropsy)
samp405,"sesame seeds, hulled"
samp406,bovine (necropsy-intestine)
samp407,patient isolate; Homo sapiens
samp408,"water, irrigation"
samp409,"sediment, stream"
samp410,"water, pond"
samp411,hot-n-spicy fried indian snacks
samp412,feline (feces)
samp413,Bearded dragon - fecal swab
samp414,divolin marshmallow sandwich cookies
samp415,frozen tuna cube
samp416,chilli powder
samp417,Alpaca
samp418,"pecans, shelled"
samp419,chili spice
samp420,"crab meat, frz, pasteurized, cooked"
samp421,"mackerel, frz"
samp422,"sesame seeds, natural"
samp423,Bovine (necropsy-ileum-spleen)
samp424,Aspirate; Homo sapiens
samp425,"Chicken Thighs, Skin On"
samp426,tulsi (basil) powder
samp427,red chile powder
samp428,"cumin, ground"
samp429,fresh cheese
samp430,Pig Pleural Fluid
samp431,frozen silver fish
samp432,Alpaca Tissue
samp433,Dog Tissue Composite
samp434,lemon myrtle tea
samp435,frozen seasoned dried file fish
samp436,Chicken Mushroom In Wine
samp437,Chicken breasts
samp438,tuna ground meat (scrape)
samp439,"croaker, frz"
samp440,Bird Tissue
samp441,mango
samp442,water pond MD1
samp443,Santa Fe river water
samp444,Chicken growers
samp445,"coconut, shelled"
samp446,"frz roter fusilier, iqf"
samp447,water pond NP
samp448,water pond RT1
samp449,Cat; Cat
samp450,piquin pepper
samp451,dietary supplement
samp452,equine feces; Horse
samp453,frz stripe bass
samp454,anis seed
samp455,porcine feces; Pig
samp456,chamomile
samp457,frz mahi mahi
samp458,"aloe vera powder, dried"
samp459,PURPLE FINCH
samp460,Isolate
samp461,xanthan gum
samp462,sesame
samp463,"Dog Food, Dry"
samp464,Capocollo Salami
samp465,frozen escolar steak iqf iwp wild
samp466,dried pheretima asiatica michaelsen (asian earthworms)
samp467,Irrigation Pond LV Water
samp468,Skink in an irrigation pond
samp469,Factory swab
samp470,coarse ground black pepper
samp471,habanero peppers
samp472,frozen tuna cubes
samp473,Water GA Pond- CC1
samp474,Turtle from an irrigation pond; Chelydra serpentina
samp475,Porcine Tissue Composite
samp476,Chicken Wings
samp477,crushed chipotle pepper
samp478,"pet treat, bully stick"
samp479,serrano peppers
samp480,fz soft shell crab
samp481,organic sprouted chai & flax blend powder
samp482,bovine (feed-hay)
samp483,paprika
samp484,black peppercorn
samp485,"clams, whole, cooked"
samp486,gecko
samp487,Amphibian from an irrigation pond; Bufo terrestris
samp488,Animal-Cattle-Heifer
samp489,chiken carcass
samp490,frz milkfish
samp491,turmeric powder
samp492,hand; Homo sapiens
samp493,raw chicken
samp494,bovine rumen
samp495,Calf small intestine
samp496,Blood culture
samp497,Pogona; Bearded Dragon Feces
samp498,Homo sapiens; Hospital
samp499,Columba livia
samp500,"feces, dairy cow; Bos taurus"
samp501,Food(toasted oats)
samp502,Raw Pistachios
samp503,Sesame Seed (Edible)
samp504,frozen mud fish
samp505,Tango
samp506,Urine
samp507,nutrition/energy bar
samp508,Swine Intestinal Swab
samp509,Biopsy
samp510,Dog
samp511,Feed
samp512,Corn Snake
samp513,Iguana
samp514,Mushroom
samp515,Halys viper
samp516,Boa Constrictor
samp517,Sewage
samp518,Medical check
samp519,"snail, boiled, frz"
samp520,chinese radish sprouts
samp521,"white clam, frz"
samp522,frozen raw tiger shrimp
samp523,frozen raw milkfish
samp524,frozen raw tuna steak
samp525,dried pork ears
samp526,"pepper, black"
samp527,porcine pool tis; Sus scrofa
samp528,toad
samp529,natural sesame seeds
samp530,cat
samp531,product
samp532,whisker sheatfish
samp533,thyme mix
samp534,frozen co treated tuna
samp535,"animal feed, cottonseed meal"
samp536,dandelion root
samp537,water sample from tomato farm
samp538,Chicken Thighs
samp539,golden thread fish
samp540,pumpkin seed
samp541,feces; Poultry
samp542,frozen red drum fish whole  farmed
samp543,Irrigation water
samp544,stone crab claws
samp545,Canine (feces); Canis sp.
samp546,SOPPERSALTA
samp547,Kennel
samp548,Snake (cloaca); snake
samp549,Organic Mizuna
samp550,frozen hlso shrimp
samp551,canine liver; Dog
samp552,Fishmeal from Malawi lake; Free living
samp553,organic stevia leaf
samp554,palak paneer spice mix
samp555,Sus scrofa; swine pool tissue
samp556,frz mud fish
samp557,"filefish, dried, seasoned"
samp558,"clam meat; wild caught, cooked"
samp559,Enviromental
samp560,raw pork
samp561,alfalfa seeds
samp562,linaza plus
samp563,Avian Liver
samp564,fertilizer
samp565,frozen raw whole baby sand goby
samp566,tilapia
samp567,"young coconut meat, frz"
samp568,oyster
samp569,frozen chicken patty
samp570,organic cilantro
samp571,"animal feed, frozen baby mice"
samp572,"cuttle fish, dried"
samp573,powdered drink canary seed with soy
samp574,cantaloupes
samp575,kashmiri chillie powder
samp576,frozen yellowfin tuna steak
samp577,unknown origin
samp578,frozen chicken product
samp579,"animal feed, sesame meal"
samp580,Bovine (intestine)
samp581,Bovine (environmental)
samp582,bovine (feed-bloodmeal)
samp583,mink (necropsy-intestine)
samp584,Bovine (necropsy-lung)
samp585,poultry meal
samp586,Avian (carcass)
samp587,Caprine (feces)
samp588,frozen swimming crab
samp589,Llama (feces)
samp590,Canine
samp591,foxtail millets (raw)
samp592,Reptile (feces)
samp593,environmental sponge
samp594,pabda fish
samp595,manchow soup powder
samp596,Mink (feces)
samp597,raw shrimp
samp598,"Boneless, Skinless Chicken Breast"
samp599,red sweet paprika
samp600,Canine (urine)
samp601,whole tilapia
samp602,frz whole moon fish
samp603,Pig Tissue
samp604,frz ostrich
samp605,Thyme
samp606,Drag Swab /Fan
samp607,spices(chatney powder)
samp608,"anchovy fish, whole, frz"
samp609,soy flour
samp610,fresh mexican style cheese
samp611,water pond CC1
samp612,Whole chicken breast
samp613,Cattle
samp614,Food- mung bean-Outbreak
samp615,avian fluid; Bird
samp616,fenugreek powder
samp617,ashwagandha powder
samp618,dried eel
samp619,Rock Cornish Chicken
samp620,BROILED CHICKEN LIVER
samp621,porcine tissue; Pig
samp622,fresh tindora
samp623,organic chile powder
samp624,snack dry charal (fish)
samp625,Kitchen drain
samp626,madras curry powder
samp627,Swine Carcass
samp628,white cheese
samp629,Amphibian from an irrigation pond; Scaphiopus holbrookii
samp630,frz pompret
samp631,Product-Raw-Intact-Pork
samp632,"black pepper, whole"
samp633,dried chile pods
samp634,egusi (melon seeds)
samp635,Water GA Pond-RT2
samp636,Poultry (chicken); Gallus gallus
samp637,"iqf raw whole round large mouth bass, bulk pack"
samp638,"golden threadfin bream, frz"
samp639,surface wipe
samp640,frozen vaccum packaged yellowfin tuna scrape
samp641,red drum fish
samp642,render cattle by-products
samp643,egg pool
samp644,fresh basil
samp645,peppers
samp646,Fresh Cantaloupe
samp647,whole white pepper
samp648,allspice (pimento)
samp649,Bos taurus; bovine uterus
samp650,Urine; Age: 40-49
samp651,Stool; Age: 60-69
samp652,Blood; Age: 30-39
samp653,frz seafood mix
samp654,Bos taurus; bovine jejunum
samp655,feces; Camel
samp656,Bos taurus; bovine intestine
samp657,shell pistachios
samp658,Snake feaces
samp659,mud carp fish fillet
samp660,haleem mix
samp661,Pet Food
samp662,Homo sapiens; blood-culture; Age: eight years; male; blood
samp663,not isolated
samp664,sepsis
samp665,Spent Irrigation Water from rinse tank
samp666,Moelle osseuse de porc
samp667,Trachemys Scripta in an irrigation pond; Trachemys scripta
samp668,paprika powder
samp669,organic shake and meal supplement
samp670,Lagoon
samp671,Shake Mix/Powder
samp672,Ostrich
samp673,Chameleon
samp674,Spices
samp675,Harbour Porpoise
samp676,Varanus brevicauda
samp677,Delma pax
samp678,Frog
samp679,Baboon
samp680,Camel
samp681,zaocus dhumnades (cantor)-wushe
samp682,"shrimp, raw"
samp683,chicken (parent flock); Gallus gallus
samp684,frozen coconut
samp685,Product-Rinse-Chicken
samp686,soy grit granules
samp687,crab
samp688,dog chew
samp689,ground black pepper
samp690,seasoning mix
samp691,"frog legs, frozen"
samp692,oregano powder
samp693,sage
samp694,trumeric powder
samp695,frz tuna steaks
samp696,processed catfish
samp697,FRESH CILANTRO
samp698,1 OPENED BAG - SELL BY 11/01/07
samp699,fecal
samp700,feed (for companion animals)
samp701,Turtle (feces); turtle
samp702,lettuce
samp703,human isolate; Homo sapiens
samp704,chicken masala seasoning
samp705,"pet treat, rawhides"
samp706,frozen raw whole sand goby
samp707,Cheese; Free living
samp708,water pond CC2
samp709,ground white pepper
samp710,"Tuna, Frozen Ground Yellowfin"
samp711,boiled small arkshel
samp712,offal
samp713,frog legs
samp714,swab raw almond
samp715,pakwan (veg)
samp716,limpets
samp717,bone
samp718,cumin ground
samp719,"tuna, co treated"
samp720,frz shell-on prawns
samp721,egg whites
samp722,"mamey, frz"
samp723,"animal feed, frozen pink baby mice"
samp724,silago (fish)
samp725,frozen cut crab
samp726,pig's ears
samp727,frozen swai fillets
samp728,jeprox fish
samp729,Yellow Fin Tuna
samp730,yellowfin tuna nakaochi scrape
samp731,chili peppers
samp732,"crab, in shell"
samp733,chilli powder red
samp734,frz raw escolar steak
samp735,salami
samp736,Caprine Lymph Node
samp737,"saw palmetto, ground, powder"
samp738,Equine Liver
samp739,frozen spiny eel
samp740,bovine (calf feed)
samp741,raw ground beef
samp742,equine (abscess)
samp743,Porcine (feces)
samp744,Bovine (lymph node)
samp745,Bovine (milk)
samp746,field irrigation system
samp747,Reptile (vent)
samp748,dry shark meat fillet
samp749,creek water
samp750,Clinical Isolate
samp751,"Bovine (necropsy-intestine lung,lymph node spleen)"
samp752,sponge stick
samp753,fresh hot peppers
samp754,"tuna scrape, Frozen vacuum packaged yellowfin"
samp755,dried tongue sole fish
samp756,pecan halves
samp757,herbal tea en forma
samp758,canal water
samp759,chicken drumsticks
samp760,dried gecko
samp761,featherback fish meat
samp762,Pig Intestine
samp763,waste lagoon stage 3
samp764,ducks feces; duck
samp765,Bovine; Bovine
samp766,chicken cordon bleu
samp767,chicken and dumplings
samp768,avian; Bird
samp769,cashew (kaju) mix
samp770,stool from hospitalized patient; Homo sapiens
samp771,european cucumbers
samp772,thai chili pepper
samp773,porcine liver; Pig
samp774,queso fresco
samp775,"duck egg yolks, cooked, frozen"
samp776,farm water filter sand
samp777,turkey; Meleagris gallopavo
samp778,textered soya-protein made of flour for cooking
samp779,Homo sapiens; clinical sample
samp780,frz octopus
samp781,"chick peas, ground"
samp782,"tilapia whole, frz"
samp783,frz hilsha
samp784,brazilian black pepper
samp785,Turkey & chicken formula cat & kitten food
samp786,cucumbers plain
samp787,prima toast
samp788,frozen whole round scad
samp789,Gallus gallus; liver
samp790,Pleural fluid (thoracentesis fld); Homo sapiens
samp791,Bos taurus; bovine lung
samp792,Disposable leggings
samp793,cuttlefish
samp794,Environmental samples
samp795,Homo sapiens stool; Homo sapiens
samp796,ovine mutton
samp797,smoked fish
samp798,Sus domesticus; Liver
samp799,Sus domesticus; Tissue Pool
samp800,shelled pecan
samp801,Beef for fajita
samp802,"animal feed, soybean hull"
samp803,RTE Product
samp804,Homo sapiens; typhoid carrier
samp805,Isolate(Rice Bran)
samp806,tuna
samp807,goose feces; Branta canadensis
samp808,Wound
samp809,Monitor Lizard
samp810,Opossum
samp811,Onychogalea fraenata
samp812,Wild Boar
samp813,Compost
samp814,Trout Acquaculture
samp815,Eremiascincus fasciolatus
samp816,Bat
samp817,Swine
samp818,kasuba (saffron)
samp819,egg-powder
samp820,Product-Swab-Pork
samp821,fennel ground
samp822,tahina
samp823,ocopa (sauce)
samp824,ground hamburger
samp825,porcine feces; Sus scrofa
samp826,enchilada sauce and chile con carne
samp827,shell on iqf shrimp
samp828,red chile
samp829,sabji masala (spice mix)
samp830,meat and bone meal
samp831,sea snail meat
samp832,brown meal
samp833,red lentil mix - snack
samp834,chamomile tea
samp835,organic soba noodle
samp836,"vitamin care for dogs, 100 chewable tablets"
samp837,dehydrated new mexico powder
samp838,frozen mahi mahi portion
samp839,alfalfa seed
samp840,sausages
samp841,bearded dragon swab
samp842,macadamia
samp843,Product-Raw-Otherwise Processed-Chicken
samp844,duck
samp845,turtle rectal swab
samp846,romaine lettuce
samp847,"peanut butter, organic"
samp848,dried vegetable chicken soup
samp849,boneless beef
samp850,sesame seed
samp851,"animal feed, meat & bone meal"
samp852,Ball Python Feces; Python regius
samp853,isolated soy protein
samp854,Italian Pine Nuts
samp855,fz whole colossoma red pompano; Piaractus brachypomus
samp856,snack peanut bhujia
samp857,"Eudocimus albus; Nestling, white ibis; fecal sample"
samp858,Procyon lotor; Little River Basin; raccoon; fecal sample
samp859,Georgia Coast; water
samp860,Product-Raw-Intact-Beef
samp861,Comminuted Turkey
samp862,cashew kernels
samp863,spiny eel
samp864,"animal feed, bone meal"
samp865,frz apple snail meat
samp866,corn soy blend
samp867,"tuna steak, frz"
samp868,ginger powder
samp869,organic spinach
samp870,shredded coconut
samp871,animal excreta
samp872,green onion
samp873,frozen snails
samp874,"dry fish, minnow"
samp875,fluid/dry milk product
samp876,whole eggs
samp877,manure
samp878,frz. yellow stripe trevally
samp879,product-raw-intact-chicken
samp880,imitation crab meat
samp881,cooked frozen snails
samp882,dried poultry blood
samp883,root ball (soil)
samp884,tapashi fish
samp885,raw almond
samp886,lobster tails
samp887,spicy red chili powder
samp888,frz striped bass
samp889,frz tuna cubes
samp890,frz tuna saku blocks
samp891,"animal feed, wheat millrun"
samp892,frz black tiger shrimp
samp893,pig ears
samp894,frozen giant perch
samp895,Bovine Brain; Bos taurus
samp896,Equine (culture medium)
samp897,Avian Lung
samp898,enviromental swabs
samp899,Bovine (thorax)
samp900,chopped beef
samp901,bovine (feed-fishmeal)
samp902,Avian Brain
samp903,bovine (swab)
samp904,dried bitterleaf
samp905,Bovine (wheat feed)
samp906,porcine (necropsy-lung-spleen)
samp907,Bovine (lung)
samp908,Mouse (necropsy)
samp909,Avian (water)
samp910,Chia Seed Powder
samp911,red pepper
samp912,Corn snake (small) - swab
samp913,mangoes
samp914,baim (mastacembelus armatus)
samp915,aaa saku block
samp916,white sesame seeds
samp917,homo sapiens; Urine
samp918,whole basil
samp919,chilli spice powder
samp920,cacao halva
samp921,"Boneless, Skinless Chicken Thighs"
samp922,"Avian, Emu feces"
samp923,fresh frozen snails
samp924,Horse Stool
samp925,Raccoon Intestine
samp926,bata (mugil parsia)
samp927,green thyme
samp928,padron peppers
samp929,whole oregano
samp930,yellowfin tuna scrape
samp931,dwarf prawns
samp932,Environmental (Chicken Fluff)-Outbreak
samp933,Animal - Chicken-Fluff
samp934,Animal - Avian-Yolk sac
samp935,frozen frog legs
samp936,hot chilly powder
samp937,Reptile (feces); reptile
samp938,"pastry, frz  - deep coconut chutney"
samp939,Onions
samp940,Pork Carcass
samp941,"mahi mahi, frz"
samp942,Baby Toad in an irrigation pond
samp943,guajillo chili powder
samp944,dog food-raw chicken patties
samp945,"octopus, frz"
samp946,frozen river barb
samp947,Porcine Heart
samp948,paracentesis fluid; Homo sapiens
samp949,dried indo fish
samp950,Equine Feces
samp951,Feline-cheetah (feces)
samp952,farm raised tilapia
samp953,fresh scallops
samp954,coriander spices
samp955,snake feces; snake
samp956,rasam powder
samp957,Body fluid; Homo sapiens
samp958,chili powder kashmiri
samp959,Bos taurus; bovine whole blood
samp960,whole (round) tomatoes
samp961,"dog treat, beef square"
samp962,Bos taurus; intestine
samp963,Calf Lymph Node
samp964,Flax meal
samp965,stool; Homo sapiens; Age: 55; male
samp966,peppermint tea/hierbabuena
samp967,NA
samp968,Water GA Pond- RT2
samp969,Sludge
samp970,Shellfish
samp971,Garter Snake
samp972,Soya
samp973,Pogona minor
samp974,frozen fish hilsha iqf 700/800
samp975,urine sample; Homo sapiens
samp976,frz sand goby
samp977,bulk sesame seeds
samp978,animal stool; Homo sapiens
samp979,Chicken Carcass
samp980,chilliy powder
samp981,environmental culture
samp982,Pig Tissue Composite
samp983,frozen raw whole octopus
samp984,frozen whole bass
samp985,"Shrimp, farmed fresh water, raw, IQF"
samp986,Bedding Material
samp987,raw chicken with clam cat food
samp988,fermenting cashew
samp989,dahivada in packets - instant mix
samp990,halva with pistachios
samp991,frozen mackerel fish
samp992,whole green jalapenos
samp993,"pet food, raw frozen chicken"
samp994,"pet treat, rawhide chew bone"
samp995,bovine milk
samp996,hydrolyzed vegetable protein powder
samp997,ground red pepper
samp998,frozen greaser fish cleaned
samp999,wheat
samp1000,corriander cumin powder
samp1001,ground coriander
samp1002,Horse; Horse
samp1003,chile guajillo
samp1004,porcine tissue; Sus scrofa
samp1005,"Eudocimus albus; Adult, white ibis; fecal sample"
samp1006,powdered papain
samp1007,"red snapper, fresh"
samp1008,frz cut crab
samp1009,kofta masala
samp1010,dried taro leaves
samp1011,Deer Feces
samp1012,farm water
samp1013,dog; Canis lupus familiaris
samp1014,Lake Wauberg water
samp1015,bisibelebath masala
samp1016,red chili powder
samp1017,corn chips snacks
samp1018,"animal feed, turkey feed"
samp1019,CSF; Human
samp1020,frz farm-raised raw shrimp
samp1021,"tuna cubes, frz"
samp1022,perch fillets
samp1023,"lobster tails, frz"
samp1024,Retail Meat
samp1025,peanut butter from sick patient
samp1026,coriander powder (dhania)
samp1027,Bovine (feed-sweet corn)
samp1028,avian (necropsy-intestine)
samp1029,feline (environmental)
samp1030,Sea lion (swab)
samp1031,water from well (used for irrigation of alfalfa sprouts)
samp1032,Reptile (mouth/vent)
samp1033,licorice root (mafco root)
samp1034,Snake Lung
samp1035,"coriander,whole"
samp1036,Food Isolate
